Pais,Año,PIB per cápita (usd),Población debajo del umbral de pobreza internacional,Tasa de empleo,Mortalidad infantil por cada 1000 nacimientos,Tasa alfabetización mayores de 15,Promedio años de estudio personas economicamente activas mayores de 15
El Salvador,2010,"3,486",60.10,-8.90,16.30,84.5,7.8
El Salvador,2011,"3,604",,-8.67,15.60,85.5,7.9
El Salvador,2012,"3,693",61.40,-8.17,14.80,86.8,8.1
El Salvador,2013,"3,759",62.00,-7.90,14.20,88.0,8.1
El Salvador,2014,"3,810",60.70,-7.88,13.60,88.1,8.1
El Salvador,2015,"3,887",60.20,-8.20,13.10,88.5,8.1
El Salvador,2016,"3,974",60.40,-7.57,12.60,89.0,8.5
El Salvador,2017,"4,054",60.50,-8.05,12.20,89.1,8.5
El Salvador,2018,"4,146",60.50,-8.59,11.70,90.0,8.7
El Salvador,2019,"4,241",61.70,-8.74,11.30,,
El Salvador,2020,"3,902",60.80,-4.00,11.00,,
Granada,1990,"5,331",,-19.98,18.10,,
Granada,1991,"5,362",,-6.97,17.20,,
Granada,1992,"5,253",,-7.07,16.40,,
Granada,1993,"5,090",,-6.74,15.60,,
Granada,1994,"5,126",,-7.24,15.00,,
Granada,1995,"5,189",,-7.74,14.40,,
Granada,1996,"5,384",,-8.28,13.90,,
Granada,1997,"5,616",,-8.63,13.50,,
Granada,1998,"6,235",,-6.35,13.20,,
Granada,1999,"6,627",,-5.44,12.90,,
Granada,2000,"6,913",,-5.44,12.70,,
Granada,2001,"6,741",,-6.80,12.50,,
Granada,2002,"6,954",,-8.50,12.30,,
Granada,2003,"7,577",,-2.25,12.20,,
Granada,2004,"7,473",,-2.79,13.50,,
Granada,2005,"8,403",,-3.34,12.00,,
Granada,2006,"8,017",,-3.75,12.00,,
Granada,2007,"8,454",,-3.99,12.00,,
Granada,2008,"8,474",,-4.04,12.10,,
Granada,2009,"7,864",,-4.04,12.20,,
Granada,2010,"7,769",,-3.96,12.40,,
Granada,2011,"7,767",,-2.54,12.50,,
Granada,2012,"7,612",,-1.76,12.70,,
Granada,2013,"7,724",,-1.62,12.90,,
Granada,2014,"8,214",,-1.61,13.10,,
Granada,2015,"8,670",,-1.60,13.30,,
Granada,2016,"8,919",,-1.58,13.40,,
Granada,2017,"9,245",,-1.57,13.60,,
Granada,2018,"9,577",,-1.56,13.60,,
Granada,2019,"9,571",,-1.55,13.50,,
Granada,2020,"8,188",,0.00,13.40,,
Guatemala,1990,"2,914",,-3.34,60.60,,
Guatemala,1991,"2,941",,-4.37,58.10,,
Guatemala,1992,"3,004",,-3.78,55.80,,
Guatemala,1993,"3,041",,-3.74,53.60,,
Guatemala,1994,"3,081",,-3.31,51.50,64.2,
Guatemala,1995,"3,150",,-3.84,49.50,,
Guatemala,1996,"3,161",,-4.08,47.60,,
Guatemala,1997,"3,217",,-3.97,45.80,,
Guatemala,1998,"3,293",,-3.93,44.30,,
Guatemala,1999,"3,336",,-4.33,42.50,,
Guatemala,2000,"3,377",65.90,-5.62,41.00,,4.7
Guatemala,2001,"3,377",,-4.92,39.50,,
Guatemala,2002,"3,440",,-4.48,38.00,69.1,
Guatemala,2003,"3,451",,-4.34,36.70,,
Guatemala,2004,"3,475",,-3.68,35.30,,
Guatemala,2005,"3,505",,-3.77,34.50,,
Guatemala,2006,"3,624",66.70,-3.13,32.80,,5.4
Guatemala,2007,"3,763",,-2.96,31.70,,
Guatemala,2008,"3,822",,-3.04,30.50,,
Guatemala,2009,"3,771",,-3.01,29.30,,
Guatemala,2010,"3,801",,-2.48,28.30,,
Guatemala,2011,"3,892",,-2.24,27.20,,
Guatemala,2012,"3,936",,-2.15,26.10,78.3,
Guatemala,2013,"3,996",,-2.31,25.10,77.0,
Guatemala,2014,"4,096",62.60,-2.57,24.20,81.3,6.1
Guatemala,2015,"4,187",,-3.00,23.30,,
Guatemala,2016,"4,223",,-2.41,22.50,,
Guatemala,2017,"4,277",,-2.89,21.70,,
Guatemala,2018,"4,352",,-3.37,21.00,80.8,
Guatemala,2019,"4,459",,-3.39,20.30,,
Guatemala,2020,"4,314",,-1.33,19.60,83.3,
Guyana,1990,"2,375",,-28.54,46.70,,
Guyana,1991,"2,527",,-20.64,45.60,,
Guyana,1992,"2,720",,-17.91,44.50,,
Guyana,1993,"2,935",,-17.35,43.40,,
Guyana,1994,"3,188",,-17.45,42.30,,
Guyana,1995,"3,324",,-17.46,41.20,,
Guyana,1996,"3,577",,-17.46,40.30,,
Guyana,1997,"3,793",,-17.43,39.30,,
Guyana,1998,"3,735",,-17.36,38.40,,
Guyana,1999,"3,825",,-17.28,37.50,,
Guyana,2000,"3,792",,-17.21,36.70,,
Guyana,2001,"3,850",,-17.05,35.80,,
Guyana,2002,"3,891",,-16.64,35.10,,
Guyana,2003,"3,865",,-16.33,34.30,,
Guyana,2004,"3,927",,-16.51,33.70,,
Guyana,2005,"3,853",,-16.97,33.50,,
Guyana,2006,"4,058",,-17.42,32.40,,
Guyana,2007,"4,361",,-17.86,31.80,,
Guyana,2008,"4,451",,-18.25,31.30,,
Guyana,2009,"4,629",,-18.64,30.60,85.0,
Guyana,2010,"4,843",,-18.98,30.10,,
Guyana,2011,"5,120",,-19.31,29.50,,
Guyana,2012,"5,392",,-9.57,28.90,,
Guyana,2013,"5,563",,-9.20,28.30,,
Guyana,2014,"5,629",,-8.90,27.60,85.6,
Guyana,2015,"5,638",,-8.60,26.90,,
Guyana,2016,"5,822",,-8.28,26.10,,
Guyana,2017,"6,006",,-7.97,25.40,,
Guyana,2018,"6,095",,39.04,24.70,,
Guyana,2019,"6,314",,-30.42,24.00,,
Guyana,2020,"9,078",,1.01,23.30,88.8,
Haití,1990,"1,617",,-3.76,100.70,,
Haití,1991,"1,615",,-3.72,98.00,,
Haití,1992,"1,500",,-3.67,95.30,,
Haití,1993,"1,391",,-3.62,92.60,,
Haití,1994,"1,202",,-3.58,90.50,,
Haití,1995,"1,296",,-3.55,87.20,,
Haití,1996,"1,325",,-3.52,84.50,,
Haití,1997,"1,336",,-3.47,81.70,,
Haití,1998,"1,341",,-3.40,79.30,,
Haití,1999,"1,352",,-3.32,76.70,,
Haití,2000,"1,339",,-3.24,74.40,,
Haití,2001,"1,311",,-3.15,72.20,,
Haití,2002,"1,302",,-3.07,70.20,,
Haití,2003,"1,324",,-3.01,68.40,58.7,
Haití,2004,"1,285",,-2.94,70.70,,
Haití,2005,"1,302",,-2.88,65.20,,
Haití,2006,"1,303",,-2.87,63.80,48.7,
Haití,2007,"1,342",,-2.86,62.60,,
Haití,2008,"1,356",,-2.88,61.40,,
Haití,2009,"1,413",,-2.87,59.90,,
Haití,2010,"1,318",,-2.88,75.90,,
Haití,2011,"1,369",,-2.91,58.30,,
Haití,2012,"1,355",,-2.93,56.70,,
Haití,2013,"1,393",,-2.95,55.30,,
Haití,2014,"1,396",,-3.01,54.10,,
Haití,2015,"1,412",,-3.09,52.80,,
Haití,2016,"1,417",,-3.16,51.80,61.7,
Haití,2017,"1,433",,-3.19,50.20,,
Haití,2018,"1,437",,-3.17,48.90,,
Haití,2019,"1,394",,-3.10,47.80,,
Haití,2020,"1,330",,-2.99,46.70,,
Honduras,1990,"1,709",,-3.03,45.50,,
Honduras,1991,"1,716",,-2.98,43.60,,
Honduras,1992,"1,762",,-2.91,41.70,,
Honduras,1993,"1,820",,-2.83,40.80,,
Honduras,1994,"1,747",,-2.69,38.80,,
Honduras,1995,"1,768",,-2.53,37.00,,
Honduras,1996,"1,781",,-2.35,35.50,,
Honduras,1997,"1,819",,-2.17,34.10,,
Honduras,1998,"1,823",,-2.00,41.00,,
Honduras,1999,"1,742",,-1.81,31.40,,
Honduras,2000,"1,793",,-1.61,30.00,,
Honduras,2001,"1,793",61.60,-1.43,28.80,80.0,5.8
Honduras,2002,"1,812",,-1.25,27.50,,
Honduras,2003,"1,846",,-1.11,26.30,,
Honduras,2004,"1,913",57.80,-0.96,25.20,,5.8
Honduras,2005,"1,981",60.30,-0.82,24.10,,5.8
Honduras,2006,"2,061",,-0.70,23.10,,
Honduras,2007,"2,139",,-0.64,22.10,83.6,
Honduras,2008,"2,181",,-0.62,21.30,,
Honduras,2009,"2,083",61.10,-0.63,20.30,,6.2
Honduras,2010,"2,116",61.40,-0.64,19.70,84.8,6.5
Honduras,2011,"2,154",59.10,-0.66,18.70,85.1,6.6
Honduras,2012,"2,199",58.50,-0.67,18.00,85.4,6.5
Honduras,2013,"2,218",61.20,-0.68,17.40,85.5,6.7
Honduras,2014,"2,244",61.70,-0.69,16.80,87.2,7.1
Honduras,2015,"2,289",62.20,-0.70,16.20,87.9,7.1
Honduras,2016,"2,336",61.60,-0.71,15.70,89.0,7.4
Honduras,2017,"2,407",,-0.70,15.20,,
Honduras,2018,"2,457",65.30,-0.69,14.60,87.2,7.2
Honduras,2019,"2,480",62.20,-0.66,14.20,88.5,7.6
Honduras,2020,"2,221",,-0.61,13.80,,
Jamaica,1990,"5,390",,-10.85,25.10,,
Jamaica,1991,"5,390",,-9.90,24.40,,
Jamaica,1992,"5,428",,-9.17,23.70,,
Jamaica,1993,"5,480",,-8.80,23.00,,
Jamaica,1994,"5,526",,-8.40,22.30,,
Jamaica,1995,"5,605",,-7.97,21.60,,
Jamaica,1996,"5,531",,-7.59,20.90,,
Jamaica,1997,"5,393",,-7.32,20.30,,
Jamaica,1998,"5,283",,-7.20,19.70,,
Jamaica,1999,"5,295",,-7.12,19.20,79.9,
Jamaica,2000,"5,303",,-7.06,18.60,,
Jamaica,2001,"5,344",,-7.01,18.30,,
Jamaica,2002,"5,354",,-6.96,17.80,,
Jamaica,2003,"5,523",,-6.91,17.40,,
Jamaica,2004,"5,569",,-6.83,17.10,,
Jamaica,2005,"5,592",,-6.73,16.80,,
Jamaica,2006,"5,727",,-6.61,16.50,,
Jamaica,2007,"5,785",,-6.49,16.20,,
Jamaica,2008,"5,716",,-6.32,16.00,,
Jamaica,2009,"5,446",,-5.84,15.60,,
Jamaica,2010,"5,344",,-5.20,15.20,,
Jamaica,2011,"5,412",,-4.57,14.80,,
Jamaica,2012,"5,352",,-4.16,14.40,,
Jamaica,2013,"5,354",,-4.08,14.00,,
Jamaica,2014,"5,369",,-4.06,13.60,,
Jamaica,2015,"5,399",,-4.04,13.20,,
Jamaica,2016,"5,457",,-4.04,12.80,,
Jamaica,2017,"5,500",,-4.03,12.40,,
Jamaica,2018,"5,598",,-4.02,12.20,,
Jamaica,2019,"5,644",,-4.02,11.80,,
Jamaica,2020,"5,072",,0.00,11.40,,
México,1990,"7,456",,-3.50,36.30,87.6,
México,1991,"7,619",,-3.83,34.80,,
México,1992,"7,743",,-3.51,33.30,,
México,1993,"7,743",,-3.64,31.90,,
México,1994,"7,972",,-3.13,30.50,,
México,1995,"7,333",,-3.48,29.20,,
México,1996,"7,692",,-3.50,27.90,,
México,1997,"8,078",,-3.35,26.70,,
México,1998,"8,353",,-3.19,25.60,,
México,1999,"8,443",,-3.48,24.50,,
México,2000,"8,721",61.80,-3.63,23.40,90.5,7.8
México,2001,"8,553",,-3.50,22.40,,
México,2002,"8,420",62.20,-3.21,21.50,90.3,8.1
México,2003,"8,416",,-3.24,20.70,,
México,2004,"8,618",62.00,-2.60,19.90,91.0,8.5
México,2005,"8,692",,-3.01,19.20,91.6,
México,2006,"8,960",65.20,-2.92,18.50,91.7,8.7
México,2007,"9,046",,-2.86,17.80,92.8,
México,2008,"9,034",61.10,-2.93,17.20,92.9,8.8
México,2009,"8,451",,-2.60,16.70,93.4,
México,2010,"8,767",59.80,-0.37,16.10,93.1,9.2
México,2011,"8,959",,0.04,15.60,93.5,
México,2012,"9,157",62.20,-0.42,15.10,94.2,9.3
México,2013,"9,159",,-0.87,14.60,94.0,
México,2014,"9,304",62.00,-0.84,14.20,94.6,9.5
México,2015,"9,499",,-0.68,13.70,94.5,
México,2016,"9,639",67.20,0.27,13.30,94.9,9.6
México,2017,"9,737",,-0.10,12.80,95.0,
México,2018,"9,856",67.50,-0.80,12.40,95.4,9.8
México,2019,"9,752",,-0.38,12.00,,
México,2020,"8,910",65.40,-0.08,11.60,95.2,10.1
Nicaragua,1990,"1,203",,-5.73,57.20,,
Nicaragua,1991,"1,173",,-5.54,53.40,,
Nicaragua,1992,"1,151",,-5.44,49.90,,
Nicaragua,1993,"1,122",,-5.31,46.60,,
Nicaragua,1994,"1,134",,-5.34,43.50,,
Nicaragua,1995,"1,177",,-5.47,40.60,,
Nicaragua,1996,"1,228",,-7.29,38.50,,
Nicaragua,1997,"1,255",,-7.50,36.50,,
Nicaragua,1998,"1,281",,-7.66,37.10,,
Nicaragua,1999,"1,350",,-7.91,32.80,,
Nicaragua,2000,"1,386",,-8.18,31.10,,
Nicaragua,2001,"1,408",60.40,-8.41,29.60,76.7,5.7
Nicaragua,2002,"1,400",,-8.50,28.20,,
Nicaragua,2003,"1,418",,-8.41,26.90,,
Nicaragua,2004,"1,476",,-8.18,25.70,,
Nicaragua,2005,"1,520",62.70,-6.08,24.60,78.0,6.3
Nicaragua,2006,"1,557",,-5.82,23.50,,
Nicaragua,2007,"1,613",,-5.58,22.60,,
Nicaragua,2008,"1,645",,-5.38,21.60,,
Nicaragua,2009,"1,568",60.10,-5.17,20.70,,6.7
Nicaragua,2010,"1,613",,-4.95,20.00,,
Nicaragua,2011,"1,690",,-4.74,19.10,,
Nicaragua,2012,"1,774",,-4.53,18.40,,
Nicaragua,2013,"1,834",,-4.34,17.70,,
Nicaragua,2014,"1,894",64.00,-4.11,16.90,,7.5
Nicaragua,2015,"1,956",,-3.86,16.30,82.6,
Nicaragua,2016,"2,017",,-3.61,15.70,,
Nicaragua,2017,"2,080",,-3.37,15.10,,
Nicaragua,2018,"1,982",,-3.15,14.50,,
Nicaragua,2019,"1,898",,-2.96,14.00,,
Nicaragua,2020,"1,840",,-1.54,13.50,,
Panamá,1990,"5,684",,-0.35,27.90,88.8,
Panamá,1991,"6,090",,-0.12,27.30,,
Panamá,1992,"6,455",,0.07,26.60,,
Panamá,1993,"6,668",,0.22,25.90,,
Panamá,1994,"6,720",,0.34,25.30,,
Panamá,1995,"6,700",,0.45,24.70,,
Panamá,1996,"6,750",,0.55,24.10,,
Panamá,1997,"7,043",,0.64,23.60,,
Panamá,1998,"7,410",,0.72,23.00,,
Panamá,1999,"7,549",,0.80,22.50,,
Panamá,2000,"7,602",55.50,0.87,21.90,91.9,9.9
Panamá,2001,"7,498",55.10,0.93,21.40,,9.4
Panamá,2002,"7,518",57.40,0.99,20.90,,9.5
Panamá,2003,"7,685",58.00,1.05,20.30,,9.6
Panamá,2004,"8,105",59.40,1.11,19.80,,9.8
Panamá,2005,"8,524",61.00,1.16,19.10,,9.8
Panamá,2006,"9,078",61.00,1.21,18.60,,9.8
Panamá,2007,"9,991",63.10,1.26,18.10,,9.9
Panamá,2008,"10,776",64.70,1.31,17.70,,10.1
Panamá,2009,"10,714",64.70,1.34,17.20,,10.1
Panamá,2010,"11,137",,1.37,16.90,94.1,
Panamá,2011,"12,178",64.10,1.40,16.50,,10.5
Panamá,2012,"13,133",,1.45,16.10,,
Panamá,2013,"13,795",66.10,1.55,15.80,,10.5
Panamá,2014,"14,243",66.10,1.83,15.40,,10.7
Panamá,2015,"14,800",66.50,2.19,15.10,,10.8
Panamá,2016,"15,266",66.40,2.51,14.70,,10.9
Panamá,2017,"15,846",66.40,2.70,14.30,,10.9
Panamá,2018,"16,156",68.00,2.68,14.00,95.4,10.8
Panamá,2019,"16,421",67.30,2.51,13.70,95.7,11.0
Panamá,2020,"13,325",,1.27,13.40,,
Paraguay,1990,"4,017",,-1.15,36.30,,
Paraguay,1991,"4,008",,-1.30,35.10,,
Paraguay,1992,"3,972",,-1.41,34.00,90.3,
Paraguay,1993,"4,065",,-1.47,32.90,,
Paraguay,1994,"4,177",,-1.55,31.90,,
Paraguay,1995,"4,357",,-1.66,31.00,,
Paraguay,1996,"4,324",,-1.75,30.20,,
Paraguay,1997,"4,408",,-1.80,29.50,,
Paraguay,1998,"4,317",,-1.88,29.00,,
Paraguay,1999,"4,171",,-2.26,28.20,,
Paraguay,2000,"3,996",,-3.10,27.60,,
Paraguay,2001,"3,896",66.40,-5.30,27.10,,7.3
Paraguay,2002,"3,840",64.60,-6.96,26.50,,7.3
Paraguay,2003,"3,956",65.50,-7.43,25.90,,7.8
Paraguay,2004,"4,069",69.00,-7.53,25.30,,7.7
Paraguay,2005,"4,110",69.30,-7.67,24.70,,8.2
Paraguay,2006,"4,262",66.70,-8.02,24.10,,8.2
Paraguay,2007,"4,449",68.10,-8.18,23.50,94.6,8.2
Paraguay,2008,"4,692",68.70,-7.88,22.90,93.3,8.5
Paraguay,2009,"4,632",69.00,-7.01,22.30,93.8,8.7
Paraguay,2010,"5,087",68.10,-4.53,21.70,93.9,8.6
Paraguay,2011,"5,237",68.40,-3.49,21.10,94.2,9.1
Paraguay,2012,"5,130",71.70,-2.99,20.40,95.1,8.9
Paraguay,2013,"5,480",70.70,-2.87,19.80,95.0,9.4
Paraguay,2014,"5,689",68.50,-2.79,19.20,95.6,9.5
Paraguay,2015,"5,775",68.70,-2.72,18.60,94.7,9.7
Paraguay,2016,"5,936",69.50,-2.67,18.10,94.0,9.5
Paraguay,2017,"6,135",69.90,-2.61,17.50,93.2,9.6
Paraguay,2018,"6,245",70.70,-2.55,16.90,94.5,9.7
Paraguay,2019,"6,137",71.80,-2.49,16.40,,10.0
Paraguay,2020,"6,006",70.60,-1.24,15.90,,10.1
Perú,1990,"2,832",,-1.63,56.40,,
Perú,1991,"2,851",,-2.73,53.70,,
Perú,1992,"2,782",,-2.24,50.40,,
Perú,1993,"2,856",,-2.20,47.50,87.2,
Perú,1994,"3,159",,-1.64,44.50,,
Perú,1995,"3,329",,-1.90,41.70,,
Perú,1996,"3,359",,-1.55,39.00,,
Perú,1997,"3,512",,-1.28,36.50,,
Perú,1998,"3,437",,-1.39,34.10,,
Perú,1999,"3,431",,-2.32,31.70,,
Perú,2000,"3,470",,-3.54,28.90,,
Perú,2001,"3,445",67.00,-4.76,26.90,,8.6
Perú,2002,"3,590",67.20,-5.73,25.10,,8.8
Perú,2003,"3,701",68.40,-6.54,23.50,,8.8
Perú,2004,"3,847",70.00,-6.93,22.00,87.7,8.9
Perú,2005,"4,051",67.80,-7.84,20.70,87.9,8.9
Perú,2006,"4,321",71.10,-8.13,19.50,88.7,9.1
Perú,2007,"4,653",73.40,-8.24,18.40,89.6,9.4
Perú,2008,"5,041",73.00,-8.13,17.40,,9.3
Perú,2009,"5,061",73.70,-7.53,16.50,,9.5
Perú,2010,"5,441",74.10,-6.18,15.70,,9.5
Perú,2011,"5,737",73.90,-5.02,14.90,,9.6
Perú,2012,"6,033",73.80,-3.98,14.30,93.8,9.8
Perú,2013,"6,325",73.60,-3.16,13.70,,9.8
Perú,2014,"6,408",73.10,-1.66,13.10,93.7,9.8
Perú,2015,"6,539",72.50,0.08,12.60,94.2,9.8
Perú,2016,"6,706",72.80,2.60,12.10,94.2,9.9
Perú,2017,"6,772",73.30,3.30,11.60,94.1,10.0
Perú,2018,"6,910",73.30,10.20,11.10,94.4,10.0
Perú,2019,"6,931",73.90,4.17,10.70,,10.1
Perú,2020,"6,089",62.90,2.39,10.30,94.5,10.1
República Dominicana,1990,"2,720",,-3.84,48.80,,
República Dominicana,1991,"2,689",,-4.02,46.90,,
República Dominicana,1992,"2,912",,-4.01,44.90,,
República Dominicana,1993,"3,062",,-3.99,43.20,,
República Dominicana,1994,"3,072",,-3.97,41.50,,
República Dominicana,1995,"3,181",,-3.76,40.00,,
República Dominicana,1996,"3,347",,-3.72,38.60,,
República Dominicana,1997,"3,554",,-3.68,37.30,,
República Dominicana,1998,"3,742",,-3.62,36.20,,
República Dominicana,1999,"3,932",,-3.57,34.80,,
República Dominicana,2000,"4,092",56.70,-3.53,33.60,,8.0
República Dominicana,2001,"4,104",55.60,-3.50,32.40,,8.0
República Dominicana,2002,"4,279",56.40,-3.46,31.30,87.0,8.2
República Dominicana,2003,"4,209",55.60,-3.42,30.20,,8.5
República Dominicana,2004,"4,206",56.00,-3.39,30.50,,8.6
República Dominicana,2005,"4,535",55.80,-3.36,29.40,,8.5
República Dominicana,2006,"4,954",57.40,-3.33,29.10,,8.7
República Dominicana,2007,"5,306",57.80,-3.28,29.00,88.2,8.9
República Dominicana,2008,"5,407",58.00,-3.21,28.70,,8.9
República Dominicana,2009,"5,388",55.80,-3.15,28.60,,9.0
República Dominicana,2010,"5,761",57.80,-3.11,28.50,89.5,9.1
República Dominicana,2011,"5,864",58.40,-3.08,28.50,90.1,9.2
República Dominicana,2012,"5,947",58.80,-3.05,28.40,90.2,9.4
República Dominicana,2013,"6,160",58.70,-3.00,28.30,90.9,9.4
República Dominicana,2014,"6,514",59.50,-2.96,28.30,91.8,9.6
República Dominicana,2015,"6,882",60.60,-2.91,28.30,92.0,9.7
República Dominicana,2016,"7,256",61.90,-2.86,28.40,93.8,9.7
República Dominicana,2017,"7,509",62.90,-2.82,28.30,,9.7
República Dominicana,2018,"7,945",64.60,-2.78,28.10,,9.8
República Dominicana,2019,"8,257",65.50,-2.74,27.80,,10.0
República Dominicana,2020,"7,620",60.90,-1.36,27.40,95.2,10.0
Saint Kitts y Nevis,1990,"10,684",,-20.96,25.30,,
Saint Kitts y Nevis,1991,"10,510",,-5.90,23.20,,
Saint Kitts y Nevis,1992,"10,852",,3.80,23.70,,
Saint Kitts y Nevis,1993,"11,450",,3.80,23.10,,
Saint Kitts y Nevis,1994,"11,885",,3.94,23.40,,
Saint Kitts y Nevis,1995,"12,377",,3.37,23.30,,
Saint Kitts y Nevis,1996,"12,918",,3.49,23.30,,
Saint Kitts y Nevis,1997,"13,610",,2.80,22.20,,
Saint Kitts y Nevis,1998,"13,391",,3.33,22.70,,
Saint Kitts y Nevis,1999,"13,637",,3.87,19.90,,
Saint Kitts y Nevis,2000,"15,261",,5.47,16.80,,
Saint Kitts y Nevis,2001,"15,857",,-0.11,17.80,,
Saint Kitts y Nevis,2002,"15,997",,-4.21,17.90,,
Saint Kitts y Nevis,2003,"15,371",,-4.60,17.90,,
Saint Kitts y Nevis,2004,"15,914",,-4.88,15.60,,
Saint Kitts y Nevis,2005,"17,504",,-4.74,15.40,,
Saint Kitts y Nevis,2006,"17,995",,-4.36,15.60,,
Saint Kitts y Nevis,2007,"18,166",,-4.08,15.30,,
Saint Kitts y Nevis,2008,"19,245",,-3.68,14.80,,
Saint Kitts y Nevis,2009,"18,550",,-3.61,13.70,,
Saint Kitts y Nevis,2010,"18,501",,-3.37,12.80,,
Saint Kitts y Nevis,2011,"18,721",,0.00,10.40,,
Saint Kitts y Nevis,2012,"18,584",,-3.99,9.50,,
Saint Kitts y Nevis,2013,"19,604",,-3.99,10.70,,
Saint Kitts y Nevis,2014,"21,090",,-3.99,13.00,,
Saint Kitts y Nevis,2015,"21,240",,-3.99,14.60,,
Saint Kitts y Nevis,2016,"22,075",,-3.99,7.80,,
Saint Kitts y Nevis,2017,"22,077",,-3.99,7.60,,
Saint Kitts y Nevis,2018,"22,530",,-3.99,9.00,,
Saint Kitts y Nevis,2019,"23,491",,-4.00,8.80,,
Saint Kitts y Nevis,2020,"20,120",,-4.00,8.60,,
San Vicente y las Granadinas,1990,"3,876",,-16.88,20.00,,
San Vicente y las Granadinas,1991,"3,909",,-14.04,19.40,,
San Vicente y las Granadinas,1992,"4,144",,-14.08,19.30,,
San Vicente y las Granadinas,1993,"4,305",,-14.14,18.80,,
San Vicente y las Granadinas,1994,"4,240",,-14.20,18.70,,
San Vicente y las Granadinas,1995,"4,557",,-14.26,18.70,,
San Vicente y las Granadinas,1996,"4,612",,-14.28,18.80,,
San Vicente y las Granadinas,1997,"4,774",,-14.43,18.80,,
San Vicente y las Granadinas,1998,"4,973",,-14.54,18.80,,
San Vicente y las Granadinas,1999,"5,117",,-14.47,18.80,,
San Vicente y las Granadinas,2000,"5,210",,-14.12,18.70,,
San Vicente y las Granadinas,2001,"5,310",,-13.66,18.60,,
San Vicente y las Granadinas,2002,"5,604",,-13.46,18.60,,
San Vicente y las Granadinas,2003,"5,995",,-14.91,18.40,,
San Vicente y las Granadinas,2004,"6,269",,-15.21,18.20,,
San Vicente y las Granadinas,2005,"6,460",,-15.56,18.10,,
San Vicente y las Granadinas,2006,"6,949",,-15.85,18.00,,
San Vicente y las Granadinas,2007,"7,219",,-15.39,17.80,,
San Vicente y las Granadinas,2008,"7,281",,-14.87,17.60,,
San Vicente y las Granadinas,2009,"7,213",,-14.99,17.20,,
San Vicente y las Granadinas,2010,"6,922",,-15.07,16.80,,
San Vicente y las Granadinas,2011,"6,918",,-15.20,16.30,,
San Vicente y las Granadinas,2012,"7,038",,-14.41,15.80,,
San Vicente y las Granadinas,2013,"7,258",,-14.50,16.40,,
San Vicente y las Granadinas,2014,"7,376",,-12.04,14.80,,
San Vicente y las Granadinas,2015,"7,610",,-12.09,14.30,,
San Vicente y las Granadinas,2016,"7,963",,-12.15,13.80,,
San Vicente y las Granadinas,2017,"8,124",,-8.00,13.30,,
San Vicente y las Granadinas,2018,"8,398",,-7.64,12.90,,
San Vicente y las Granadinas,2019,"8,486",,-7.20,12.50,,
San Vicente y las Granadinas,2020,"8,192",,-3.62,12.10,,
Santa Lucía,1990,"8,304",,-8.47,18.20,,
Santa Lucía,1991,"8,220",,-7.40,17.70,,
Santa Lucía,1992,"8,746",,-5.02,17.30,,
Santa Lucía,1993,"8,667",,-6.07,16.90,,
Santa Lucía,1994,"8,688",,-6.62,16.70,,
Santa Lucía,1995,"8,742",,-7.00,16.30,,
Santa Lucía,1996,"8,898",,-6.97,16.10,,
Santa Lucía,1997,"8,751",,-6.49,15.80,,
Santa Lucía,1998,"9,218",,-5.58,15.60,,
Santa Lucía,1999,"9,380",,-3.92,15.50,,
Santa Lucía,2000,"9,314",,-4.84,15.40,,
Santa Lucía,2001,"8,935",,-3.46,15.30,,
Santa Lucía,2002,"8,906",,-1.48,15.30,,
Santa Lucía,2003,"9,217",,-1.12,15.30,,
Santa Lucía,2004,"9,815",,-0.72,15.40,,
Santa Lucía,2005,"9,704",,-0.53,15.50,,
Santa Lucía,2006,"10,237",,-0.47,15.60,,
Santa Lucía,2007,"10,386",,-0.16,15.80,,
Santa Lucía,2008,"10,826",,0.35,15.90,,
Santa Lucía,2009,"10,589",,1.18,16.20,,
Santa Lucía,2010,"10,563",,2.57,16.50,,
Santa Lucía,2011,"10,943",,1.05,16.10,,
Santa Lucía,2012,"10,868",,0.06,16.10,,
Santa Lucía,2013,"10,595",,0.00,16.40,,
Santa Lucía,2014,"10,686",,0.00,15.30,,
Santa Lucía,2015,"10,648",,0.00,14.60,,
Santa Lucía,2016,"10,964",,0.00,13.90,,
Santa Lucía,2017,"11,284",,0.00,13.20,,
Santa Lucía,2018,"11,563",,0.00,12.50,,
Santa Lucía,2019,"11,443",,0.00,11.80,,
Santa Lucía,2020,"8,626",,0.00,11.80,,
Suriname,1990,"5,188",,-15.55,38.80,,
Suriname,1991,"5,272",,-14.73,37.60,,
Suriname,1992,"5,270",,-13.41,36.30,,
Suriname,1993,"4,957",,-17.11,35.10,,
Suriname,1994,"4,745",,-6.34,33.90,,
Suriname,1995,"4,787",,1.40,32.70,,
Suriname,1996,"4,738",,0.95,31.50,,
Suriname,1997,"4,747",,0.91,30.40,,
Suriname,1998,"4,800",,1.14,29.30,,
Suriname,1999,"4,597",,1.34,28.30,,
Suriname,2000,"4,603",,1.28,27.30,,
Suriname,2001,"4,782",,1.31,26.40,,
Suriname,2002,"4,830",,1.46,25.60,,
Suriname,2003,"5,077",,1.47,24.80,,
Suriname,2004,"5,036",,-3.29,24.10,89.6,
Suriname,2005,"5,338",,-2.98,23.40,,
Suriname,2006,"5,878",,-2.70,22.80,,
